UWI,START_DATE,OIL,GAS,WATER
BR819,1965-05-01,1785,0,0
AB257,1973-11-01,26550,22470,0
TR758,1973-11-01,122600,112100,0
ON369,1973-11-01,65134,36450,0
DS652,1973-11-01,61277,60180,0
CC782,1973-11-01,30104,21750,0
YP570,1973-11-01,41720,35350,0
TF413,1973-11-01,795,1130,0
TF335,1973-11-01,32780,23690,0
BR819,1973-11-01,92363,72450,0
BR710,1973-11-01,32634,23230,0
AB494,1973-11-01,57372,34780,0
DS527,1973-11-01,22434,17600,0
CC504,1973-11-01,27840,29500,0
DS241,1973-11-01,40791,28840,0
BR118,1973-11-01,24032,16480,0
TR791,1973-11-01,69407,45050,0
YP676,1973-11-01,45136,35340,0
TF143,1973-11-01,99506,72090,0
CC636,1973-11-01,24250,22040,0
ON394,1973-11-01,127191,93060,0
BR312,1973-11-01,63903,56260,0
BR704,1973-11-01,49770,35520,0
TF359,1973-11-01,1849,1720,0
RK403,1973-11-01,101200,58480,0
CC782,1973-12-01,20055,16050,0
CC636,1973-12-01,40772,33060,0
BR819,1973-12-01,46135,39600,0
BR704,1973-12-01,20174,19440,0
TR758,1973-12-01,39276,35650,0
BR710,1973-12-01,25320,20900,0
TR791,1973-12-01,20638,16380,0
ON369,1973-12-01,27436,22880,0
TF143,1973-12-01,153680,94500,0
AB257,1973-12-01,27150,17600,0
TR791,1974-01-01,480759,452400,0
BR710,1974-01-01,433258,435660,0
ON369,1974-01-01,436727,354000,0
BR819,1974-01-01,711262,453220,0
DS652,1974-01-01,244911,196940,0
TF740,1974-01-01,19180,4050,0
AB257,1974-01-01,470250,335920,0
CC636,1974-01-01,434361,339840,0
DS241,1974-01-01,494022,401310,0
BR704,1974-01-01,513175,383800,0
YP676,1974-01-01,151181,140000,0
AB494,1974-01-01,123407,123600,0
DS698,1974-01-01,1900,0,0
TR758,1974-01-01,807612,473860,0
TF740,1974-01-01,11829,840,0
RK403,1974-01-01,292122,203810,0
RK345,1974-01-01,5551,4720,0
