UWI,START_DATE,OIL,GAS,WATER
ON333,2008-01-01,26808,14687,1287
AB388,2008-01-01,68045,51638,14197
ON231,2008-01-01,46320,48798,2807
TR855,2008-01-01,31741,14275,241
TR724,2008-01-01,58903,41521,866
CC482,2008-01-01,43735,19995,1744
TF695,2008-01-01,41481,33139,5004
TR387,2008-01-01,66718,40193,20
TF695,2008-01-01,18174,14737,1127
BR430,2008-01-01,3,2,1
YP768,2008-01-01,25891,16211,6044
DS496,2008-01-01,21855,12453,0
DS652,2008-01-01,32107,24762,1537
DS150,2008-01-01,23117,9679,0
TF719,2008-01-01,22881,11318,561
TR694,2008-01-01,35175,19641,743
AB456,2008-01-01,50272,33222,1187
BR273,2008-01-01,25902,19609,99
DS150,2008-01-01,30333,20952,2284
RK794,2008-01-01,26172,4007,776
TF533,2008-01-01,52270,46128,1606
YP166,2008-01-01,19185,7610,236
TR507,2008-01-01,46475,20235,8094
TF277,2008-01-01,28684,15090,262
CC669,2008-01-01,21557,14562,32
AB560,2008-01-01,34244,31131,0
DS441,2008-01-01,31247,27074,0
RK450,2008-01-01,53522,64584,5077
ON798,2008-01-01,28626,18490,64
DS263,2008-01-01,24416,17832,0
TR811,2008-01-01,82505,37726,477
TR843,2008-01-01,30996,27332,6123
ON308,2008-01-01,35432,18442,94
AB456,2008-01-01,25535,19877,0
AB295,2008-01-01,79996,52467,0
CC464,2008-01-01,28002,19268,28695
YP467,2008-01-01,8248,4773,2933
YP373,2008-01-01,28970,29424,1793
YP468,2008-01-01,24866,11416,15
BR763,2008-01-01,36894,17292,34
BR264,2008-01-01,73991,70187,0
TF410,2008-01-01,23908,11967,45
BR159,2008-01-01,33297,19380,0
AB460,2008-01-01,37170,26419,0
RK302,2008-01-01,21371,15090,460
TF277,2008-01-01,75854,52808,7335
DS546,2008-01-01,25424,11074,0
ON333,2008-01-01,48526,32160,3559
AB590,2008-01-01,25280,24192,0
AB513,2008-01-01,28943,18321,774
RK114,2008-01-01,47177,36728,18679
RK302,2008-01-01,20965,13957,48
TR129,2008-01-01,35667,28448,69
CC646,2008-01-01,30439,14554,6453
TR235,2008-01-01,17290,10490,264
RK375,2008-01-01,20057,11559,94
RK453,2008-01-01,35630,21383,75
YP676,2008-01-01,29504,36004,62151
AB295,2008-01-01,66141,44367,76
AB590,2008-01-01,9361,8366,188
AB824,2008-01-01,2182,1254,0
YP549,2008-01-01,61881,55463,86
TF642,2008-01-01,38306,22625,1165
DS684,2008-01-01,26910,20993,0
AB119,2008-01-01,70643,43710,2218
DS234,2008-01-01,31970,21756,7758
DS689,2008-01-01,15002,7674,872
DS558,2008-01-01,31296,16754,151
CC627,2008-01-01,18374,9964,869
RK318,2008-01-01,39808,33868,3233
DS720,2008-01-01,35,18,12
ON236,2008-01-01,22005,13195,435
ON463,2008-01-01,27378,20049,154
YP373,2008-01-01,34145,29637,1373
DS780,2008-01-01,40154,46646,106
AB559,2008-01-01,42185,24708,3333
RK403,2008-01-01,19120,6628,0
TR455,2008-01-01,63464,36894,2081
YP174,2008-01-01,6919,4072,145
TF696,2008-01-01,59653,35068,3552
TR376,2008-01-01,49603,18474,0
YP229,2008-01-01,30071,11288,158
YP471,2008-01-01,37553,24942,357
YP412,2008-01-01,28695,28179,0
ON804,2008-01-01,57846,34969,313
TF719,2008-01-01,80001,47643,1605
ON765,2008-01-01,52701,35971,374
CC649,2008-01-01,15118,8526,1304
RK113,2008-01-01,8131,6245,603
YP181,2008-01-01,15807,7977,3848
DS884,2008-01-01,19251,9053,1654
AB424,2008-01-01,24448,5639,308
BR273,2008-01-01,48677,36277,8978
TF846,2008-01-01,31251,25416,53
DS773,2008-01-01,42733,41500,43
TR455,2008-01-01,32581,17080,49
TF611,2008-01-01,27674,16121,23
TR336,2008-01-01,15927,9780,0
YP166,2008-01-01,19907,5166,5218
CC782,2008-01-01,63806,31480,838
